en,es
I used to dream about becoming an astronaut.,Yo solía soñar en convertirme en un astronauta.
There's a big hole in your sock.,Tienes un gran agujero en el calcetín.
That a boy!,Buen chico.
He can read and write.,Sabe leer y escribir.
How many pencils do you have?,¿Cuántos lápices tiene usted?
He knows how to argue with the manager.,Él sabe cómo discutir con el gerente.
The Christmas party won't be the same this year without Tom.,La celebración de la Navidad no será igual este año sin Tom.
This store isn't very big.,Esta tienda no es muy grande.
She trusted you.,Ella confiaba en ti.
I hope you practiced your solo.,Espero que hayas practicado tu solo.
We must make do with what we have got.,Debemos conseguir hacerlo con lo que tenemos.
"Yesterday, I bought a red car.",Ayer compré un auto rojo.
Thanks in advance.,Gracias en avance.
I love your garden.,Me encanta tu jardín.
She's at home taking care of the kids.,Ella está cuidando de los niños en casa.
"Needless to say, he was late for school as usual.","Nada que decir, él llegó tarde a la escuela como siempre."
How far are you prepared to go?,¿Hasta dónde estás preparado para ir?
Tom left Mary a message.,Tom le dejó un mensaje a Mary.
Are you on a diet?,¿Usted está a dieta?
I had all my clothes washed by my mother.,Mi mamá me lavó toda mi ropa.
I put on my trousers.,Me pongo los pantalones.
Tom didn't want Mary to work.,Tom no quería que Mary trabajase.
The wheel doesn't turn.,La rueda no gira.
Do you have tuna fish?,¿Tenés atún?
The lights suddenly went out and it become dark.,Las luces se apagaron de repente y todo quedó a oscuras.
Tom is the person I've been looking for.,Tom es la persona que he estado buscando.
These shoes are killing me.,Estos zapatos me están matando.
"It might sound crazy, but I think I'm still in love with Mary.","Puede que parezca una locura, pero creo que todavía estoy enamorada de Mary."
I don't want to give up.,No quiero darme por vencido.
It's a tough choice.,Es difícil elegir.
Many children were playing in the park.,Muchos niños jugaban en el parque.
Can I park my car here?,¿Puedo aparcar mi coche aquí?
Nothing is as precious as love.,Nada es tan valioso como el amor.
She slapped him.,Lo abofeteó.
Tom seems like a reliable person.,Tom parece ser una persona seria.
Why did you spend all the money?,¿Por qué gastaste todo el dinero?
Nothing has changed.,No ha cambiado nada.
You might get lucky.,Tú quizás podrías tener suerte.
The boy is eating bread.,El chico está comiendo pan.
Where shall we meet?,¿Dónde nos encontraremos?
My mother gets up at six every morning.,Mi madre se levanta todas las mañanas a las seis.
I'm aware that you failed.,Estoy informado de que fallaste.
You may or may not win.,Puedes o no ganar.
You're powerless.,Tú estás sin autoridad.
"Even though Tom had promised to pay, he stuck Mary with the bill.","Aunque Tom había prometido pagar, le encasquetó a Mary la cuenta."
I want to get in touch with her.,Quiero ponerme en contacto con ella.
I always eat junk food when I'm depressed.,Siempre como comida basura cuando estoy deprimido.
Please speak in a louder voice.,Por favor hable más alto.
I'd like to ask Tom that myself.,Me gustaría yo mismo preguntarle eso a Tomás.
Both of my parents are musicians.,Mis padres son músicos.
In which direction did he go?,¿En qué dirección ha ido él?
Can you verify that?,¿Podrías verificar eso?
I have black eyes.,Tengo los ojos negros.
Tom couldn't control himself.,Tom no supo controlarse.
It wasn't Tom's first time to drive a sports car.,No era la primera vez que Tom conducía un deportivo.
Jamaica's an English colony.,Jamaica es una colonia inglesa.
Tom is never going to let me go.,Tom nunca va a dejarme ir.
You'll have to get one of your own.,Tendrás que conseguir uno por tu cuenta.
Let me try it.,Déjame probarlo.
Tom has never killed anybody.,Tom nunca mató a nadie.
Five years have gone by since my father died.,Han pasado cinco años desde que mi padre murió.
I want to go to school.,Quiero ir a la escuela.
Tom asked Mary to sing louder.,Tom le pidió a Mary que cantara más alto.
Don't leave the windows open.,No dejes abiertas las ventanas.
I'd like to check your blood pressure.,Me gustaría revisar tu presión de sangre.
She is over twenty.,Ella tiene más de veinte años.
What's your secret?,¿Cuál es tu secreto?
You're going the wrong way.,Vas en la dirección equivocada.
Such an economic program will help the rich at the expense of the poor.,Un programa económico como ese va a ayudar a los ricos a costa de los pobres.
There is a better way.,Hay un modo mejor.
It's too good to be true.,Es demasiado bueno para ser cierto.
Does this thing actually work?,¿Esta cosa de verdad funciona?
I shouldn't eat food that has sugar in it.,No debo comer alimentos que contengan azúcar.
Tom admitted that he always has trouble remembering names.,Tom admitió que siempre tiene problemas para recordar nombres.
That's what friends are for.,Para eso son los amigos.
He barely passed the examination.,Aprobó el examen por los pelos.
He couldn't speak because the audience was too noisy.,No pudo hablar porque la audiencia era demasiado ruidosa.
I think you know I like you a lot.,Creo que sabes que me gustas mucho.
Tom doesn't know how to sit still.,Tom no sabe quedarse quieto.
It is too late for me.,Es demasiado tarde para mí.
It seemed like a good idea.,Parecía una buena idea.
He is far from rich.,Está lejos de ser rico.
I'm going to figure out a way to blame this on Tom.,Voy a descubrir una forma de echarle la culpa de esto a Tom.
"If you don't study harder, you'll definitely fail.","Si no estudias más, no cabe duda de que suspenderás."
I've done questionable things.,He hecho cosas cuestionables.
They live downstairs.,Viven en el piso de abajo.
"Had he known the facts, the accident might have been avoided.","Si él hubiera conocido los hechos, el accidente se podría haber evitado."
We won't go back to Boston.,No volveremos a Boston.
Tom doesn't know what he did to make Mary so angry.,Tom no sabe qué hizo para hacer enojar tanto a Mary.
"There's still a lot left to do, so I won't get bored.","Todavía hay mucho que hacer, así que no me aburriré."
Visitors may not feed the animals.,Los visitantes no pueden alimentar a los animales.
Tom didn't say much.,Tom no dijo mucho.
"I don't object to your going out to work, but who will look after the children?","No me opongo a que vayas a trabajar fuera de casa, pero ¿quién se ocupará de los niños?"
Do it for me.,Hágalo por mí.
He is not altogether wrong.,Él no está totalmente equivocado.
"Hey, look what I found.","Che, mirá lo que encontré."
Put it wherever there is room.,Ponlo dondequiera que haya sitio.
May we have a short recess?,¿Podemos hacer un descanso?
He telephoned me again and again.,Él me llamó al teléfono una y otra vez.
Tell me why you think you can't trust me.,Dime por qué crees que no puedes confiar en mí.
He is riding a bicycle.,El va en bicicleta.
Why is Mary going with him to the picnic?,¿Por qué va Mary con él al picnic?
I expect him to come soon.,Espero que él venga pronto.
He promised to meet him at the coffee shop.,Prometió verse con él en la cafetería.
"If you don't want to go, you don't have to.","Si no quieres ir, no estás obligado."
I'll take it outside.,Lo sacaré.
The plane took off and was soon out of sight.,El avión despegó y a lo pronto ya estaba fuera de vista.
You don't have a chance.,No tienes oportunidad.
Pay for your own food.,Paga tu propia comida.
You will have guessed its meaning by the end of the chapter.,Vas a haber adivinado su significado para el final del capítulo.
Tom could understand why Mary was angry.,Tom podía entender que Mary estaba enfadada.
Stop making a fool of yourself.,Deja de hacer el ridículo.
What makes you think that Tom prefers living in the country?,¿Qué te hace pensar que Tom prefiere vivir en el campo?
The prime minister appoints the members of his cabinet.,El primer ministro nombra a los miembros de su gabinete.
I ate a large pizza with a friend an hour ago.,Comí una pizza grande con un amigo hace una hora atrás.
What's your favorite song by the Rolling Stones?,¿Cuál es tu canción preferida de los Rolling Stones?
Tom realized something wasn't right.,Tom se dio cuenta de que algo no iba bien.
My mother makes the best cakes in the world.,Mi madre hace las mejores tartas del mundo.
The new plan worked well.,El nuevo plan funcionó bien.
Do you really care what I think?,¿De verdad te interesa lo que yo pienso?
They have the horse.,Ellos tienen el caballo.
"Would you bring me another one, please?","¿Me traerías otro, por favor?"
I'd like to attend the party.,Quiero ir a la fiesta.
I am not happy with my job.,No estoy contento con mi trabajo.
He didn't like to ask for help even if he was starving.,A él no le gustaba pedir ayuda aunque se estuviera muriendo de hambre.
Tom is certainly over thirty.,Tom tiene seguro más de treinta.
Where's my husband?,¿Dónde está mi marido?
You have to leave Boston.,Tienes que dejar Boston.
I just need five minutes.,Solo necesito cinco minutos.
Would you like for me to do that for you?,¿Quieres que haga eso por ti?
It was yesterday that Mary bought this skirt.,Ayer fue que Mary compró esta falda.
There's a theory that dog owners often resemble their dogs.,Hay una teoría que dice que los dueños usualmente se parecen a sus perros.
Tom isn't certain about the answer.,Tom no está seguro de la respuesta.
I have to buy a new pair of skis.,Tengo que comprar un nuevo par de esquís.
Tom came a little after noon.,Tom vino poco después del mediodía.
Tom has a heart condition.,Tom padece del corazón.
She thought of a good solution.,A ella se le ocurrió una buena solución.
What's your favorite movie?,¿Cuál es tu película favorita?
We were all very happy at breakfast.,Todos estábamos muy felices en el desayuno.
Tom is encouraging his students.,Tom está alentando a sus estudiantes.
That's not the only problem.,Ese no es el único problema.
I didn't have to move it.,No tuve que moverlo.
"If you buy me an ice cream, I'll kiss you.","Si me compras un helado, te doy un beso."
DNA tests showed he was innocent.,Las pruebas de ADN demostraron que él era inocente.
Don't throw stones into the river.,No tires piedras al río.
This apple tastes very sour.,Esta manzana sabe muy amarga.
Tom didn't speak to Mary at all last night.,Tom no habló con Mary anoche.
How about dining out tonight?,¿Qué te parece si cenamos afuera esta noche?
He says he has been to Hawaii before.,Él dice que ha estado antes en Hawái.
I'm going to teach you some karate.,Voy a enseñarte un poco de kárate.
Tom made his way through the crowd.,Tom se hizo paso a través de la multitud.
I read this in the newspaper.,Lo he leído en el periódico.
The door is opening now.,La puerta se está abriendo ahora.
I'm going to get married.,Me voy a casar.
Did anyone call me up?,¿Me llamó alguien?
Are you coming in or not?,¿Entras o no?
My brother-in-law is a policeman.,Mi cuñado es un madero.
She gave birth to her first child at twenty years old.,Ella dio a luz a su primer hijo a los veinte años.
He told me to leave the window open.,Él me dijo que deje la ventana abierta.
That's really a great idea.,Esa sí que es una buena idea.
The TV remote control is under the couch.,El mando a distancia de la televisión está debajo del sofá.
He lost his way in the snow.,Él se perdió en medio de la nieve.
She has never danced with him.,Nunca ha bailado con él.
I didn't know what it was.,No sabía qué era.
I want to know why Tom isn't here.,Quiero saber por qué Tom no está aquí.
Tomorrow will be even warmer than today.,Mañana hará todavía más calor que hoy.
Tell them to call me before they leave.,Que me llamen antes de que salgan.
"Could you bring me a pillow and blanket, please?","¿Me podés traer una almohada y una colcha, por favor?"
Tom bet $300 on the game.,Tom apostó $300 dólares en el juego.
He thought that he was a genius.,Él pensaba que era un genio.
Do you want me to help you?,¿Quieres que yo te ayude?
Does she know you?,¿Ella te conoce?
Do you know if he's coming to the party?,¿Sabes si vendrá a la fiesta?
Which are the prime numbers?,¿Cuáles son los números primos?
She ran out of paper.,A ella se le acabó el papel.
"You didn't happen to catch his name, did you?","¿No lograste entender su nombre, no?"
There's a large risk involved.,Hay un gran riesgo implicado.
My brother did it on my behalf.,Mi hermano lo hizo en mi nombre.
Those books are theirs.,Esos libros son de ellos.
The hunter shot a fox.,El cazador le disparó a un zorro.
Tom is out of work.,Tomás está desocupado.
Feel this.,Tentá esto.
She left her children.,Ella abandonó a los hijos.
Stop biting your nails.,Deja de comerte las uñas.
I know I deserve this.,Sé que merezco esto.
It was all good.,Todo estaba bien.
Tom didn't know that woman at all.,Tom no conocía en absoluto a esa mujer.
I share your idea.,Concuerdo contigo.
Everybody knows.,Todos lo saben.
Tom planted some flowers in his yard.,Tom plantó algunas flores en su patio.
The cause of the accident is still not clear.,La causa del accidente todavía no está clara.
Tom and Mary are as different as night and day.,Tom y Mary son diferentes como la noche y el día.
The professor treated her as one of his students.,La profesora la trató como una más de sus estudiantes.
Didn't you know that oil floats on water?,¿No sabías que el aceite flota sobre el agua?
She set out on a trip last week.,Ella se fue de viaje la semana pasada.
Where's the toothpaste?,¿Dónde está la pasta de dientes?
"You've never heard of me, have you?","Nunca has oído de mí, ¿verdad?"
"All generalizations are false, including this one.","Todas las generalizaciones son erróneas, incluyendo ésta."
I doubt the truth of the report.,Yo dudo de la veracidad de ese informe.
You know what needs to be done.,Sabes lo que hay que hacer.
He is usually straightforward and sincere and thereby gains the confidence of those who meet him.,"Normalmente es directo y sincero, y así consigue ganarse la confianza de aquellos que le conocen."
Do you want another cup of tea?,¿Quieres otra taza de té?
I love both of them.,Los dos me encantan.
"In my opinion, it's not a good idea.","Según mi opinión, no es una buena idea."
The boy told me why he was crying.,El niño me dijo por qué lloraba.
He graduated from Harvard.,Se graduó de Harvard.
He wants to be a policeman in the future.,Le gustaría ser policía en el futuro.
Will you go to the party tonight?,¿Vas a la fiesta de esta noche?
Tom apologized again.,Tom se volvió a disculpar.
There was enough water for two days.,Había suficiente agua para dos días.
I thought Tom and Mary had a relationship.,Pensé que Tom y Mary tenían una relación.
Tom must be sick.,Tom debe estar enfermo.
Put on a robe.,Ponte una bata.
She was born in England.,Ella nació en Inglaterra.
Where can I buy books?,¿Dónde puedo comprar libros?
The moon is behind the clouds.,La luna está detrás de las nubes.
Tom went to Boston by bus.,Tom se fue a Boston en ómnibus.
"If you do it at all, try to do it well.","Si acaso lo vas a hacer, trata de hacerlo bien."
He has a sweet voice.,Él tiene voz dulce.
Tom betrayed me.,Tom me traicionó.
Try to get some sleep.,Intenta dormir algo.
I missed the train.,Perdí el tren.
What a loss!,¡Qué pérdida!
She suggested that the customer buy a blue tie.,Ella le recomendó al cliente una corbata azul.
"Even now, I occasionally think I'd like to see you. Not the you that you are today, but the you I remember from the past.","Incluso ahora, a veces pienso que me gustaría verte. No como eres hoy, sino como te recuerdo."
Gold is far heavier than water.,El oro es mucho más pesado que el agua.
"I knew I shouldn't have done it, but I did it anyways.","Sabía que no debí haberlo hecho, pero lo hice de todas formas."
Our city is getting bigger and bigger.,Nuestra ciudad se vuelve más y más grande.
There are a lot of problems we can't avoid.,Hay muchos problemas que no se pueden eludir.
"It was no big deal, really.","No fue asunto grande, de verdad."
This firm manufactures cars at the rate of two hundred per day.,Esta compañía fabrica doscientos autos por día.
We've got time.,Tenemos tiempo.
They haven't found Tom.,No han encontrado a Tom.
I believe this is the only thing I can do for you.,Creo que es lo único que puedo hacer por tí.
You're clever.,Son inteligentes.
I'm available in case you need something.,Me pongo a su disposición en caso de que necesite algo.
Tom felt like a fool.,Tom se sentía como un tonto.
"Oh, by the way, I have something to give you.","Oh, por cierto, tengo algo que darte."
Put it back where you got it from.,Ponlo de vuelta de donde lo sacaste.
Did you buy this book?,¿Compraste este libro?
Where have you been hiding?,¿Donde te has estado escondiendo?
How long should I take this medicine?,¿Cuánto tiempo tengo que tomar este remedio?
This book deals with China.,Este libro es sobre China.
We are all convinced of his innocence.,Todos estamos convencidos de su inocencia.
The boy made fun of the girl.,El chico se burló de la chica.
I may swim in the river.,Puede que nade en el río.
I study English.,Estudio inglés.
The first thing we should do is write and thank your brother-in-law for his hospitality.,Lo primero que deberíamos hacer es escribirle a tu cuñado para agradecerle la hospitalidad.
He was accused of cowardice.,Le acusaron de cobardía.
Don't ask questions that you don't want to know the answer to.,No hagas preguntas si no quieres saber las respuestas.
What kind of animals live around here?,¿Qué clase de animales viven por aquí?
I'm not good at lying.,No soy bueno para mentir.
They all looked for the lost child.,Todos buscaron al niño perdido.
Would you please let go of my arm?,¿Me soltarías el brazo?
Tom loves his work.,Tom ama su trabajo.
You never listen to our advice.,Nunca escuchas nuestros consejos.
I didn't ask you to come.,No te pedí que vinieras.
I was hungry and thirsty.,Tenía hambre y sed.
Who painted this picture?,¿Quién pintó esta pintura?
We have no choice but to do so.,No tenemos más opción que hacer eso.
"If you want to avoid cholesterol, eat lean meat with no fat.","Si quieres evitar el colesterol, come carnes magras sin grasa."
I need something smaller.,Necesito algo más pequeño.
This sentence is not a translation. It's the original.,Esta frase no es una traducción. Es la original.
How many books do you possess?,¿Cuántos libros tienes?
Please answer the phone.,Por favor coge el teléfono.
What do you think about the Gulf War?,¿Qué pensás de la Guerra del Golfo?
Call me up whenever you need my help.,Llámame cuando sea que necesites mi ayuda.
Ignorance is bliss.,La ignorancia es una bendición.
Some people go to church on Sunday morning.,Algunas personas van a la iglesia los domingos por la mañana.
I had trouble getting a taxi.,Me costó encontrar un taxi.
Would you mind picking up something on the way back?,¿Te importaría recoger algo en el camino de regreso?
"Weather permitting, I'll depart tomorrow.","Si el tiempo lo permite, partiré mañana."
He wetted his towel with water.,Mojó la toalla con agua.
You speak French very well. I wish I could speak it as well as you.,Tú hablas francés muy bien. Ojalá yo lo pudiera hablar tan bien como tú.
There's something I've been meaning to talk to you about.,Hay algo sobre lo que quería hablarte.
This question is difficult to answer.,Esta pregunta es difícil de responder.
Explain your idea more clearly.,Exponga usted su idea con más claridad.
Tom wants to know why you didn't call him back.,Tom quiere saber por qué no le regresaste la llamada.
It doesn't hurt.,No duele.
It's impossible.,Es imposible.
Tom's car was stuck in the mud.,El auto de Tom se quedó atascado en el barro.
Tom felt dizzy from the heat.,Tom se sintió mareado por el calor.
It's too quiet.,Hay demasiada calma.
I feel like an outsider.,Me siento como un extraño.
He plays cello exceptionally well.,Él toca el violonchelo excepcionalmente bien.
Tom didn't have to do that.,Tom no tenía que hacer eso.
Animals can't tell what's real and what's fake.,Los animales no pueden distinguir lo verdadero de lo falso.
You survived.,Usted sobrevivió.
We live ten minutes away from him.,Vivimos a diez minutos de su casa.
"Get me a chair, please.","Tráeme una silla, por favor."
I can't lie to you.,No puedo mentirte.
He is now either in Rome or in Paris.,Ahora estará en Roma o en París.
Guess where I've been.,Adivinen dónde estuve.
I took part in the discussion.,Participé de la discusión.
A lot of soldiers died here.,Aquí murieron muchos soldados.
"If you don't want to go to that party, you don't have to.",No tienes que ir a esa fiesta si no quieres.
I cannot lift this stone.,No soy capaz de levantar esta piedra.
What did you hide?,¿Qué escondiste?
The traveler reached his destination at last.,El viajero llegó al fin a su destino.
Tom is pouring a glass of milk.,Tom está sirviendo un vaso de leche.
Tom got into the elevator with Mary.,Tom entró en el ascensor con Mary.
Tom has a serious problem.,Tom tiene un serio problema.
Tell the truth.,Digan la verdad.
"Everyone looks the same, except the one standing on his head.",Todos parecen iguales excepto el que está haciendo el pino.
"Tom has never dated a girl whose name ends with an ""s.""","Tom nunca ha salido con una chica cuyo nombre termine con ""s""."
Who remembers?,¿Quién se acuerda?
Tom just cleaned his room.,Tom acaba de limpiar su pieza.
Have you already forgotten me?,¿Ya me has olvidado?
I'll assist you.,Te voy a ayudar.
"It is quality, not quantity that counts.",Es la calidad y no la cantidad lo que importa.
You had better chain up the dog so that he won't bite.,Debería atar el perro para que no muerda.
I am interested in computers.,Me interesan los computadores.
I think Tom has been barking up the wrong tree.,Creo que Tom está descortezando el árbol equivocado.
All that you have to do is to follow his advice.,Todo lo que tienes que hacer es seguir sus consejos.
Tom cared.,A Tom le importaba.
I will be back soon.,Yo regresaré pronto.
I don't like to go out when it's dark.,No me gusta salir cuando está oscuro.
Add a little milk.,Añada un poco de leche.
Children learn from adults.,Lo niños aprenden de los grandes.
An old man sat next to me on the bus.,Un anciano se sentó conmigo en el autobús.
My mother brought him to my room.,Mi mamá lo trajo a mi habitación.
You can't teach an old dog new tricks.,No se le puede enseñar nuevos trucos a un perro viejo.
Today I walked 10 kilometers.,Hoy yo caminé 10 kilómetros.
He is cranky.,Está de morros.
Tom's resume speaks for itself.,El currículum vitae de Tom habla por sí mismo.
I'm sorry for breaking my promise.,Lo siento por romper mi promesa.
That's an interesting theory.,Esa es una teoría interesante.
This road will take you to the station.,Este camino lo va a llevar a la estación.
He made a speech in English at the meeting.,Él dio un discurso en inglés en la reunión.
This is just a hypothesis.,Esto es solo una hipótesis.
I doubt that Tom understands what I tried to tell him.,Dudo que Tom entendiera lo que trataba de decirle.
I speak English every day.,Hablo inglés todos los días.
This isn't funny.,Esto no es gracioso.
It's almost midnight. Go to bed.,"Es casi medianoche, ¡ve a la cama!"
The bank refused to give them more credit.,El banco se negó a entregarles más crédito.
He graduated from Harvard.,Él se graduó de Harvard.
We caught him trying to go out of his room.,Lo pillamos tratando de salir de su cuarto.
You're babbling.,Tú estás murmurando.
Tom doesn't share his food.,Tom no comparte su comida.
I almost got caught a few times.,Casi me atrapan un par de veces.
I'm important.,Soy importante.
I will help you if possible.,Yo te ayudo si es posible.
I don't know yet.,Todavía no lo sé.
Things are looking good.,Las cosas se ven bien.
I don't believe a word you say.,No creo ni una sola palabra que digas.
I don't want to leave Boston.,No me quiero ir de Boston.
Tom asked Mary to call him after dinner.,Tom le pidió a María que lo llamara después de la cena.
Tie your shoelaces.,Amárrate los cordones.
Tom blew out the candles on his birthday cake.,Tom sopló las velitas de su torta de cumpleaños.
I've read both books.,Me he leído los dos libros.
It seems that she was ill.,"Al parecer, ella estaba enferma."
Please call him up.,"Llámalo, por favor."
I know what's up.,Yo sé lo que pasa.
Tom isn't the sharpest tool in the shed.,Tom no es el más listo de la clase.
Tom explained why he was late.,Tom explicó por qué había llegado tarde.
She's six years older than I am.,Ella es seis años mayor que yo.
Tom's diet resulted in weight loss.,La dieta de Tom hizo que perdiera peso.
Some animals are active at night.,Algunos animales actúan de noche.
They're coming.,Vienen.
I saw an old friend of mine yesterday.,Ayer vi a un viejo amigo mío.
"When it comes to mathematics, he is second to none in his class.","Cuando se trata de matemáticas, él no se queda atrás con nadie en su clase."
They need help.,Ellos necesitan ayuda.
I can do this on my own.,Lo puedo hacer solo.
I cooked supper last night.,He preparado la cena ayer.
"You despise me, don't you?","Tú me desprecias, ¿o no?"
Tom put on his robe.,Tom se puso su sotana.
Giraffes have very long necks.,Las jirafas tienen el cuello muy largo.
It was hot outside.,Hacía calor fuera.
You are fantastic.,Eres fantástico.
"To tell the truth, I don't want to go with them.","La verdad, no quiero ir con ellos."
The plane landed at Narita.,El avión aterrizó en Narita.
The weather here is getting cold and I really do not like that.,El clima aquí se está poniendo frío y eso de verdad no me gusta.
I'll call you later.,Te llamo luego.
I need some time to think.,Necesito un tiempo para pensar.
What forms do we need to file?,¿Qué formas necesitamos nosotros guardar?
The ship will stop in Yokohama.,El barco atracará en Yokohama.
I watched TV for two hours yesterday.,Ayer vi televisión por dos horas.
Can you tell me the way to the bank?,¿Puede decirme qué camino es hacia el banco?
The cruel man beat the dog with a whip.,El cruel sujeto le pegó al perro con un látigo.
Tom told the police he had been framed.,Tom le dijo a la policía que había sido víctima de una encerrona.
Go wait outside.,Ve a esperar afuera.
The backwardness of that country is well known.,El atraso de ese país es bien conocido.
Who is that woman?,¿Quién es aquella mujer?
Tom is perfect.,Tom es perfecto.
I let Tom win.,Yo dejo a Tom ganar.
Armstrong was the first man to reach the moon.,Armstrong fue el primer hombre en llegar a la Luna.
What a genius he is!,¡Pero que genio es!
Do you think Tom looks like his mother?,¿Piensas que Tom se parece a su mamá?
Do you know any Canadians living in Australia?,¿Conoces a algún canadiense que viva en Australia?
Where did you study?,¿Dónde estudiaste?
Nothing will be gained by getting angry.,Enojándose no arreglará nada.
He never fails to call his mother on her birthday.,Él siempre llama a su madre el día de su cumpleaños.
It's a miracle that you were able to survive.,Es un milagro que hayas sido capaz de sobrevivir.
I couldn't stop laughing.,No pude parar de reír.
He doesn't mingle with the villagers.,Él no se mezcla con los aldeanos.
I think it won't succeed.,Creo que no funcionará.
Don't go to Boston.,No vayas a Boston.
Tom and Mary are friends with John.,Tom y Mary son amigos de John.
Does someone here speak Japanese?,¿Habla alguien japonés aquí?
We hope you will enjoy the show.,Esperamos que le guste el show.
She will be here in no time.,Ella estará aquí en seguida.
I still don't remember calling you.,Todavía no me acuerdo de haberte llamado.
Tom agreed to accept Mary's offer.,Tom accedió a aceptar la oferta de María.
This chemical will prevent germs from breeding.,Este producto químico evitará que los gérmenes se reproduzcan.
Have you any references from your other employers?,¿Tienes alguna referencia de tus otros patrones?
I need time to mull things over before I decide what to do.,Necesito tiempo para reflexionar las cosas antes de decidir lo que hacer.
"To make matters worse, it began to snow.","Para empeorar las cosas, comenzó a nevar."
I wonder if Tom can tell us anything else.,Me pregunto si Tom nos puede decir algo más.
Where is the Greek embassy?,¿Dónde se encuentra la embajada griega?
The house is on the most level part of the ground.,La casa está en la parte más llana del terreno.
I can't believe he did this to me.,No puedo creer que me hiciera esto.
Tom is a man who can be trusted.,Tom es un hombre en quien se puede confiar.
Tom didn't know which bus to take.,Tom no sabía qué colectivo tomar.
We needed help.,Nosotros necesitábamos ayuda.
My grandfather usually eats breakfast at six.,Mi abuelito toma el desayuno normalmente a las seis.
Tom put down his fork and pushed his chair back.,Tom dejó el tenedor y empujó su silla hacia atrás.
A bird in the hand is better than two in the bush.,Más vale pájaro en mano que ciento volando.
It would be nice to have a party.,Sería bueno tener una fiesta.
I love my grandfather's anecdotes.,Me encantan las anecdotas de mi abuelo.
Tom hardly ever makes mistakes.,Tom casi nunca comete errores.
Did Tom tell you what the problem was?,¿Te dijo Tom cuál era el problema?
"Bring your kids, too.",Que vengan también tus niños.
Tom is my friend.,Tom es mi amigo.
You're the best.,Sos la mejor.
What's your impression of the United States?,¿Qué opinas de Estados Unidos de América?
The list is extensive.,La lista es extensa.
Tom isn't doing anything.,Tom no está haciendo nada.
He finally got his wish.,Finalmente su deseo se cumplió.
My grandmother is very forgetful of things nowadays.,Mi abuela está muy olvidadiza con las cosas últimamente.
Tom filled Mary's wine glass to the rim.,Tom llenó la copa de vino de María hasta el borde.
Live free or die.,Vive en libertad o muere.
I still don't trust Tom very much.,Todavía no confío mucho en Tom.
Tom is very hungry.,Tom tiene mucha hambre.
I felt my heart beat violently.,He sentido cómo mi corazón latía violentamente.
You have been good soldiers.,Han sido buenos soldados.
She had a pleasant dream.,Ella tenía un sueño agradable.
I'd like you to come work for me.,Quiero que vengas a trabajar conmigo.
I don't want to hear any more of your complaining.,No quiero escuchar tus quejas nunca más.
That's the house where Tom was born.,Ésa es la casa en que nació Tom.
My whole family is doing well.,Toda mi familia está bien.
It's rare to meet nice people like you.,Es difícil conocer a gente tan agradable como tú.
They're mocking you.,Se están burlando de ti.
He was running and calling for help.,Él corría y pedía ayuda.
I'd like two cans of tomatoes.,Quisiera dos latas de tomate.
Were you sober at that time?,¿Estabas sobrio en aquel momento?
I can't drink milk.,No puedo beber leche.
Tom didn't say anything.,Tom no dijo nada.
Is there anybody in the house?,¿Hay alguien en casa?
Nice seeing you!,¡Qué gusto verte!
"If you teach me your language, I can teach you mine.","Si me enseñas tu lengua, te puedo enseñar la mía."
This time we won.,Esta vez ganamos nosotros.
It was my turn.,Era mi hora.
He's my best friend. It's like we are brothers.,Él es mi mejor amigo. Es como si fuéramos hermanos.
May I sit down?,¿Me puedo sentar?
They finished their meal.,Ellos terminaron su comida.
Is French taught at your school?,¿Se enseña francés en tu colegio?
Would you forgive me?,¿Me perdonarías?
It can not be true.,No puede ser cierto.
He is overconfident.,Es arrogante.
Maybe they will come and maybe they won't.,Puede que vengan y puede que no.
Keep to the left.,Sigue hacia la izquierda.
Tom is doing very well today.,A Tom le está yendo muy bien hoy.
Sweep my room.,Barre mi habitación.
A girl phoned me.,Una chica me llamó por teléfono.
This fruit has an unpleasant smell.,Esta fruta tiene un olor desagradable.
Tom is happy.,Tom es feliz.
Who is the man who was talking with you?,¿Quién es el hombre que hablaba con vos?
Don't worry. They will be supervised.,No te preocupes. Ellos estarán supervisados.
Her dream has come true.,Su sueño se hizo realidad.
This tie and that jacket go well together.,Esta corbata y esa chaqueta quedan bien juntas.
The boss is going to get mad at me.,El jefe se va a enfadar conmigo.
It's a doll.,Es una muñeca.
Do you want to stay here all week?,¿Querés quedarte acá toda la semana?
Is this made in Switzerland?,¿Esto está hecho en Suiza?
"Run fast, or you will be late for school.","Corre rápido, o llegarás tarde al colegio."
Tom hasn't gone swimming in a long time.,Tom no ha ido a nadar en mucho tiempo.
It's my book.,Es mi libro.
He's on sentry duty.,Está de centinela.
The child is always begging for something.,El niño siempre está pidiendo algo.
Have you called her yet?,¿Ya la has llamado?
Make it larger.,Hazlo más grande.
It is difficult to make up for wasted time.,Es difícil compensar el tiempo perdido.
We could read.,Podríamos leer.
Tom never visited Mary in the hospital.,Tom nunca fue al hospital a visitar a Mary.
That was the last straw.,Fue la gota que rebalsó el vaso.
My grandfather is in his nineties.,Mi abuelo está en sus noventas.
He lost his temper and began calling me names.,Perdió los estribos y me empezó a llamar cosas.
I thought it was love at first.,Pensé que era amor a primera vista.
Now's the time to decide if you want to go with us or not.,Ahora es la hora de decidir si quieres ir con nosotros o no.
